"geo_id","geo_parent_id","geo_type","name","name_uk"
4934,37646,"city","село Пузиково","село Пузикове"
4935,331,"city","село Матвеевцы","село Матвіївці"
4936,45,"city","село Привольное","село Привільне"
4937,237,"city","село Низколизы","село Низьколизи"
4938,125,"city","поселок Зайчевское","селище Зайчівське"
4939,37674,"city","село Николайполье","село Миколайпілля"
4940,240,"city","село Мирча","село Мирча"
4941,47,"city","село Черемхов","село Черемхів"
4942,184,"city","поселок Жовтневое","селище Жовтневе"
4943,207,"city","село Михайловка","село Михайлівка"
4944,381,"city","село Елизаветовка","село Єлизаветівка"
4945,84,"city","село Броды","село Броди"
4946,392,"city","село Рекуновка","село Рекунівка"
4947,180,"city","село Кошланы","село Кошлани"
4948,104,"city","село Песчаный Брод","село Піщаний Брід"
4949,237,"city","село Высокое","село Високе"
4950,249,"city","село Старошейка","село Старошийка"
4951,275,"city","село Сивка-Калушская","село Сівка-Калуська"
4952,213,"city","село Браиловка","село Браїлівка"
4953,372,"city","село Вечирчино","село Вечірчине"
4954,406,"city","поселок Юность","селище Юність"
4955,343,"city","село Познань","село Познань"
4956,13,"city","Клугино-Башкировка","Клугино-Башкирівка"
4957,220,"city","село Новониколаевка","село Новомиколаївка"
4958,54,"city","село Петровка","село Петрівка"
4959,233,"city","село Рюмшино","село Рюмшине"
4960,333,"city","село Федоровка","село Федорівка"
4961,37637,"city","село Поповка","село Попівка"
4962,48,"city","село Немировка","село Немирівка"
4963,266,"city","поселок Фабричное","селище Фабричне"
4964,37649,"city","село Червоное","село Червоне"
4965,278,"city","село Федоровка","село Федорівка"
4966,370,"city","село Марьяновка","село Мар'янівка"
4967,37656,"city","село Плоское","село Плоске"
4968,163,"city","село Каменное","село Камінне"
4969,313,"city","поселок Лесное","селище Лісне"
4970,182,"city","село Надиновка","село Надинівка"
4971,37611,"city","село Селище","село Селище"
4972,37614,"city","село Новопетровка","село Новопетрівка"
4973,37602,"city","село Василевское","село Василівське"
4974,94,"city","село Черевковское","село Черевківське"
4975,382,"city","Бахмач","Бахмач"
4976,309,"city","село Лука","село Лука"
4977,44,"city","село Петро-Марковка","село Петро-Марківка"
4978,2,"city","Новоe","Нове"
4979,185,"city","село Бужанка","село Бужанка"
4980,82,"city","село Новый Труд","село Новий Труд"
4981,133,"city","село Гнильче","село Гнильче"
4982,34,"city","село Мыта","село Мита"
4983,68,"city","село Богдановцы","село Богданівці"
4984,94,"city","село Мичурино","село Мічуріне"
4985,330,"city","село Порохонь","село Порохонь"
4986,37652,"city","село Залужье","село Залужжя"
4987,302,"city","село Скельки","село Скельки"
4988,37606,"city","село Александровка","село Олександрівка"
4989,388,"city","село Ниговищи","село Ниговищі"
4990,48,"city","село Хижники","село Хижники"
4991,37653,"city","село Криничное","село Криничне"
4992,349,"city","село Великий Лазучин","село Великий Лазучин"
4993,152,"city","село Тростянка","село Тростянка"
4994,37621,"city","село Жабелевка","село Жабелівка"
4995,285,"city","село Шевченково","село Шевченкове"
4996,37,"city","село Репище","село Репище"
4997,328,"city","село Детковцы","село Дітківці"
4998,378,"city","село Ульяновка","село Ульянівка"
4999,342,"city","село Соболевка","село Соболівка"
5000,276,"city","село Грицеволя","село Грицеволя"
5001,37688,"city","село Любино","село Любине"
5002,353,"city","село Загорье-Кукольницкое","село Загір'я-Кукільницьке"
5003,99,"city","село Череватовка","село Череватівка"
5004,271,"city","село Овлаши","село Овлаші"
5005,134,"city","село Бацево","село Бацеве"
5006,53,"city","село Белополье","село Білопілля"
5007,403,"city","село Порошково","село Порошково"
5008,336,"city","село Лавы","село Лави"
5009,171,"city","село Успеновка","село Успенівка"
5010,239,"city","село Новая Жадова","село Нова Жадова"
5011,37667,"city","село Ивановка","село Іванівка"
5012,163,"city","село Стадница","село Стадниця"
5013,37667,"city","село Бурхановка","село Бурханівка"
5014,292,"city","село Броды","село Броди"
5015,51,"city","село Марьяновка","село Мар'янівка"
5016,121,"city","село Березовка","село Березівка"
5017,339,"city","село Федорки","село Федірки"
5018,37617,"city","село Вочковцы","село Вочківці"
5019,37677,"city","село Ярошовка","село Ярошівка"
5020,284,"city","село Комаровичи","село Комаровичі"
5021,271,"city","село Чистое","село Чисте"
5022,331,"city","село Залужье","село Залужжя"
5023,37640,"city","село Березовое","село Березове"
5024,145,"city","село Златоустовка","село Златоустівка"
5025,277,"city","село Вышков","село Вишків"
5026,393,"city","село Кряжевое","село Кряжове"
5027,281,"city","Долинская","Долинська"
5028,121,"city","село Сантарка","село Сантарка"
5029,294,"city","село Сурогатка","село Сурогатка"
5030,37675,"city","село Яриновка","село Яринівка"
5031,302,"city","село Водопой","село Водопій"
5032,37653,"city","село Красногорское","село Красногірське"
5033,37630,"city","село Захидное","село Західне"
5034,328,"city","село Лопушаны","село Лопушани"
5035,37671,"city","село Халча","село Халча"
5036,53,"city","село Лозовка","село Лозівка"
5037,37676,"city","село Барково","село Баркове"
5038,110,"city","село Степановка","село Степанівка"
5039,121,"city","село Барды","село Барди"
5040,37631,"city","село Шлях Ильича","село Шлях Ілліча"
5041,370,"city","село Збуж","село Збуж"
5042,84,"city","село Шаповаловка","село Шаповалівка"
5043,43,"city","село Семидубы","село Семидуби"
5044,37666,"city","поселок Гончарное","селище Гончарне"
5045,157,"city","село Быстрик","село Бистрик"
5046,238,"city","село Лесконоги","село Лісконоги"
5047,115,"city","поселок Комсомольское","селище Комсомольське"
5048,205,"city","село Рыбчино","село Рибчине"
5049,23,"city","Пристань","Пристань"
5050,61,"city","село Клузев","село Клузів"
5051,385,"city","село Трудовик","село Трудовик"
5052,43,"city","поселок городского типа Побугское","селище міського типу Побузьке"
5053,37659,"city","село Кидры","село Кідри"
5054,152,"city","село Калиновка","село Калинівка"
5055,160,"city","село Степанки","село Степанки"
5056,394,"city","село Оленовка","село Оленівка"
5057,205,"city","село Вершино-Каменка","село Вершино-Кам'янка"
5058,100,"city","село Тракт","село Тракт"
5059,127,"city","село Люлинцы","село Люлинці"
5060,271,"city","село Дзеркалька","село Дзеркалька"
5061,251,"city","село Пелиновка","село Пелинівка"
5062,303,"city","село Семаки","село Сьомаки"
5063,174,"city","село Марковка","село Марківка"
5064,89,"city","село Исаков","село Ісаків"
5065,253,"city","село Викторовка","село Вікторівка"
5066,411,"city","село Струтинка","село Струтинка"
5067,37621,"city","село Бохоники","село Бохоники"
5068,113,"city","поселок городского типа Великая Багачка","селище міського типу Велика Багачка"
5069,37669,"city","село Макеевское","село Макіївське"
5070,33,"city","село Переездное","село Переїзне"
5071,209,"city","село Быстрица","село Бистриця"
5072,409,"city","село Новогеоргиевка","село Новогеоргіївка"
5073,158,"city","поселок городского типа Гримайлов","селище міського типу Гримайлів"
5074,37642,"city","село Заайдаровка","село Заайдарівка"
5075,134,"city","поселок городского типа Новоозерянка","селище міського типу Новоозерянка"
5076,219,"city","село Храпачов Яр","село Храпачів Яр"
5077,37647,"city","село Княжики","село Княжики"
5078,37652,"city","село Прилбичи","село Прилбичі"
5079,96,"city","село Новоалексеевка","село Новоолексіївка"
5080,37636,"city","село Долина","село Долина"
5081,282,"city","село Бырловка","село Бирлівка"
5082,174,"city","село Гута-Шершневская","село Гута-Шершнівська"
5083,37648,"city","село Жирова","село Жирова"
5084,51,"city","село Великая Цвиля","село Велика Цвіля"
5085,37674,"city","село Дылеевка","село Диліївка"
5086,37689,"city","поселок Ивановка","селище Іванівка"
5087,139,"city","село Партизаны","село Партизани"
5088,37,"city","село Визня","село Візня"
5089,313,"city","село Каплуновка","село Каплунівка"
5090,297,"city","село Анетовка","село Анетівка"
5091,231,"city","поселок городского типа Черноморское","селище міського типу Чорноморське"
5092,327,"city","село Березово","село Березово"
5093,95,"city","село Новогригоровка","село Новогригорівка"
5094,244,"city","село Софиевка","село Софіївка"
5095,37607,"city","поселок Житенко","селище Житенко"
5096,37676,"city","село Новоукраинка","село Новоукраїнка"
5097,423,"city","село Безводовка","село Безводівка"
5098,134,"city","село Белокоровичи","село Білокоровичі"
5099,405,"city","село Дулибы","село Дуліби"
5100,235,"city","село Оброчное","село Оброчне"
5101,277,"city","село Слобода-Болеховская","село Слобода-Болехівська"
5102,155,"city","село Преображенка","село Преображенка"
5103,165,"city","село Мокрое","село Мокре"
5104,313,"city","село Михайловка","село Михайлівка"
5105,37683,"city","село Печины","село Печини"
5106,262,"city","село Луковица","село Луковиця"
5107,39,"city","село Владимировка","село Володимирівка"
5108,21,"city","Нагольно-Тарасовка","Нагольно-Тарасівка"
5109,37673,"city","село Бурчак","село Бурчак"
5110,183,"city","село Зеленая","село Зелена"
5111,221,"city","село Болязубы","село Болязуби"
5112,319,"city","село Яблоновка","село Яблунівка"
5113,348,"city","село Бузовка","село Бузівка"
5114,360,"city","село Червоная Зирка","село Червона Зірка"
5115,89,"city","село Луг","село Луг"
5116,292,"city","село Подгорье","село Підгір'я"
5117,94,"city","село Новая Марьевка","село Нова Мар'ївка"
5118,37663,"city","село Попелевщина","село Попелівщина"
5119,132,"city","село Сухая Каменка","село Суха Кам'янка"
5120,425,"city","село Купьеваха","село Куп'єваха"
5121,37690,"city","село Губин","село Губин"
5122,120,"city","село Блищиводы","село Блищиводи"
5123,78,"city","село Дибровное","село Дібровне"
5124,336,"city","село Гутище","село Гутище"
5125,140,"city","село Малиновка","село Малинівка"
5126,37660,"city","село Нижние Головли","село Нижні Головлі"
5127,199,"city","село Сосулевка","село Сосулівка"
5128,310,"city","село Самойловка","село Самійлівка"
5129,297,"city","село Кузнецово","село Кузнецове"
5130,253,"city","село Азовское (Фрунзе)","село Азовське (Фрунзе)"
5131,88,"city","село Руда-Селецкая","село Руда-Сілецька"
5132,37606,"city","село Подсулье","село Підсулля"
5133,143,"city","село Колосовка","село Колосівка"
5134,37682,"city","поселок Зеленая Рубановка","селище Зелена Рубанівка"
5135,126,"city","село Ровня","село Рівня"
5136,378,"city","село Бруновка","село Брунівка"
5137,417,"city","село Иванковцы","село Іванківці"
5138,264,"city","поселок Новоалександровка","селище Новоолександрівка"
5139,37644,"city","поселок городского типа Лиховка","селище міського типу Лихівка"
5140,103,"city","село Павловка","село Павлівка"
